Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Mileage,Speed,Acceleration,Road Type,Traffic Conditions,Temperature,Humidity,Wind Speed,Air Pressure,CO2 Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level
Motorcycle,Electric,2.747608618,22,291288,49.08325451,1.88773844,Highway,Moderate,13.88045841,52.88390515,18.93886108,955.411642,179.930088,1.085519804,0.011547962,0.096206794,0.022935757,Medium
Bus,Electric,5.743714393,3,188398,23.46031082,3.544147219,City,Heavy,19.13694657,5.69734269,14.71652591,1035.763062,250.5052193,1.285628406,0.187112096,0.073321308,0.02802138,Medium
Bus,Hybrid,4.606368497,17,281451,115.5083505,4.646885549,Highway,Free flow,8.123428468,3.953116011,18.64452227,976.2070644,404.9791033,0.258188567,0.132398149,0.014743543,0.075333622,High
Truck,Electric,3.913024118,4,151321,18.54021738,3.581003893,Rural,Heavy,35.99489346,0.509678081,11.9518592,966.9194623,463.568608,1.040955765,0.166325226,0.093490327,0.025323934,High
Truck,Hybrid,1.61129693,15,91810,109.5965658,3.879302877,Highway,Moderate,14.79348065,52.45088434,2.761138226,953.2293507,79.51460364,1.583390451,0.078043079,0.020395503,0.024986365,Low
Car,Petrol,1.611171506,13,72131,51.41677178,3.753896211,City,Moderate,11.18625201,46.3815604,13.50854213,1033.40731,287.8334381,1.733975124,0.05636087,0.09316533,0.069062427,Medium
Car,Petrol,1.102034783,26,169449,45.34391899,1.60489303,City,Free flow,-7.591601582,94.04601936,4.029823213,956.0115291,337.869581,1.470222358,0.042899138,0.050660286,0.058193413,High
Car,Hybrid,5.304115958,26,296695,27.75837611,3.784652166,Highway,Moderate,19.95075411,34.23063159,6.919371833,1045.443042,57.86424252,0.895289216,0.110928836,0.053710919,0.078112185,Low
Car,Electric,3.925798061,18,90214,76.29076012,3.922603801,City,Moderate,20.1434468,65.82273955,10.19235868,1006.484202,131.5617088,0.589204877,0.060648453,0.058605228,0.038696963,Low
Bus,Electric,4.481977405,13,38599,82.2633618,2.667001603,Highway,Heavy,19.1644815,0.756341464,3.147319641,1019.868318,78.1527115,0.839387631,0.177221498,0.018436776,0.064760973,Low
Motorcycle,Electric,0.90703937,8,229417,56.10851547,2.683781193,Rural,Moderate,34.37984588,66.35384458,0.415627657,1022.531042,180.6661535,1.167038555,0.015688351,0.069837479,0.090702316,Medium
Truck,Petrol,5.843531231,5,109490,6.684827483,3.798604015,Rural,Heavy,28.14504163,91.3460024,6.541718797,979.2684489,142.4322336,0.111021182,0.026065391,0.068874612,0.091311551,Low
Truck,Petrol,5.128701732,16,22593,110.2212181,4.085154311,City,Free flow,33.37028098,35.47679567,16.48631538,1030.645835,269.0601363,1.832814134,0.051004029,0.061998482,0.068781504,Medium
Motorcycle,Hybrid,1.904163376,18,225472,117.6394959,1.68597721,Highway,Free flow,-7.028872155,31.40571018,0.307599224,1044.624068,344.9036713,0.753064016,0.025644668,0.089900471,0.012099825,High
Truck,Diesel,1.745489829,11,109865,51.72520983,4.007811088,Rural,Heavy,5.906321613,62.60298649,2.188678664,986.985111,428.9978962,1.613933526,0.167321674,0.053058879,0.05756005,High
Truck,Petrol,1.753703451,3,173708,73.63929689,4.071045033,Highway,Heavy,5.935597185,32.85520655,16.13709713,1033.534939,186.9390717,1.115503369,0.010768342,0.073948514,0.016129233,Medium
Motorcycle,Petrol,2.382059663,15,187031,54.03583515,1.170628205,Rural,Moderate,22.85225289,40.24183755,6.117034059,1027.203982,72.6828915,1.358158679,0.133814536,0.040535638,0.099078495,Low
Car,Electric,3.528733444,24,216989,38.62555811,3.584753727,Rural,Free flow,12.43075244,27.31165409,18.76427029,1008.959587,51.73167604,1.543045547,0.096541745,0.093217115,0.099732445,Low
Car,Hybrid,3.046114097,10,229701,9.278255143,0.932669609,Rural,Moderate,28.87363016,34.48892063,7.60488286,986.7615978,430.0482535,0.64702881,0.15682048,0.093890079,0.020439633,High
Truck,Petrol,2.314391529,21,132192,54.72812765,0.465245565,Highway,Free flow,9.221528333,67.94106124,15.93407858,991.5185294,445.1609816,1.251557849,0.08797654,0.05338845,0.051054686,High
Motorcycle,Petrol,3.981635053,3,43638,98.20614676,2.87271506,Highway,Moderate,1.080378866,92.23751864,5.175796825,980.7608519,95.44669711,1.528126353,0.132559883,0.076235937,0.087505265,Low
Motorcycle,Diesel,1.525368075,16,170134,2.043775331,4.543260994,Rural,Heavy,4.547553415,58.31154757,1.236624768,992.6270481,54.57916373,1.56476022,0.131458219,0.03098996,0.020446825,Low
Motorcycle,Petrol,2.319152172,7,267337,69.85292198,0.177295118,Highway,Free flow,-0.876513692,1.003344893,17.63108971,1048.962692,410.1194712,0.890406196,0.079129738,0.067915427,0.059704652,High
Truck,Petrol,2.705081585,13,15213,105.692653,4.132508188,Rural,Free flow,-0.105365412,26.38925618,18.54592951,986.341477,338.327624,1.484178743,0.031696532,0.017655971,0.027970984,High
Bus,Electric,3.171563918,26,254286,26.1059316,2.532356054,Rural,Moderate,0.841945772,95.22385287,14.16199316,1016.550975,300.2650184,0.673610374,0.092274316,0.087632576,0.053710646,High
Car,Electric,4.882914999,1,244987,21.99070376,4.304477244,City,Free flow,-9.195264425,91.03217638,15.40135647,981.9606433,289.9413387,0.33610564,0.176261915,0.074941851,0.028207215,Medium
Motorcycle,Diesel,1.838303667,10,215031,92.67319508,4.217384676,Rural,Heavy,25.80440174,11.56472396,0.142552402,996.6647736,398.1919855,0.314549485,0.161312733,0.095941329,0.057726739,High
